id_equipo;team_name;common_name;country
1;"CA Tigre";Tigre;Argentina
2;"CA Belgrano de Cordoba";Belgrano;Argentina
3;"CA Union de Santa Fe";"Union Santa Fe";Argentina
4;"Club Atletico Velez Sarsfield";"Velez Sarsfield";Argentina
5;"CA Talleres de Cordoba";"Talleres Cordoba";Argentina
6;"CSD Defensa y Justicia";"Defensa y Justicia";Argentina
7;"CA Independiente";Independiente;Argentina
8;"CA Lanus";Lanus;Argentina
9;"CA Boca Juniors";"Boca Juniors";Argentina
10;"CA Banfield";Banfield;Argentina
11;"Colon de Santa Fe";Colon;Argentina
12;"Gimnasia y Esgrima La Plata";"Gimnasia La Plata";Argentina
13;"Estudiantes de La Plata";Estudiantes;Argentina
14;"CA Rosario Central";"Rosario Central";Argentina
15;"CA San Lorenzo de Almagro";"San Lorenzo";Argentina
16;"Newell's Old Boys";"Newell's Old Boys";Argentina
17;"Arsenal de Sarandi";"Arsenal de Sarandi";Argentina
18;"Racing Club de Avellaneda";"Racing Club";Argentina
19;"CA River Plate";"River Plate";Argentina
20;"CA Tucuman";"Atletico Tucuman";Argentina
21;"Godoy Cruz Antonio Tomba";"Godoy Cruz";Argentina
22;"CA Huracan";Huracan;Argentina
23;"Argentinos Juniors";"Argentinos Juniors";Argentina
24;"CA Central Cordoba de Santiago del Estero";"Central Cordoba SdE";Argentina
25;"CA Platense";Platense;Argentina
26;"CA Barracas Central";"Barracas Central";Argentina
27;"CA Sarmiento";Sarmiento;Argentina
28;"Instituto AC Cordoba";Instituto;Argentina
29;"Ferroviaria Futebol";Ferroviaria;Brazil
30;"Sport Club Corinthians Paulista";Corinthians;Brazil
31;"Clube de Regatas do Flamengo Women";"Flamengo W";Brazil
32;"SE Kindermann";Kindermann;Brazil
33;"Santos FC";Santos;Brazil
34;"Gremio FB Porto Alegrense Women";"Gremio W";Brazil
35;"Sao Paulo Futebol Clube Women";"Sao Paulo Women";Brazil
36;"SE Palmeiras Women";"Palmeiras Women";Brazil
37;"Internacional RS";"Internacional RS";Brazil
38;"Cruzeiro EC Women";"Cruzeiro W";Brazil
39;"Bahia Women";"Bahia W";Brazil
40;"Real Brasi­lia FC";"Real Brasi­lia W";Brazil
41;"CA Mineiro Women";"Atletico Mineiro W";Brazil
42;"Club Athletico Paranaense";"Athletico Paranaense";Brazil
43;"Cear SC Women";"Cear W";Brazil
44;"Real Desportivo Ariquemes FC Women";"Real Ariquemes W";Brazil
45;"Arsenal FC";Arsenal;England
46;"Tottenham Hotspur FC";"Tottenham Hotspur";England
47;"Manchester City FC";"Manchester City";England
48;"Crystal Palace FC";"Crystal Palace";England
49;"Everton FC";Everton;England
50;"Burnley FC";Burnley;England
51;"AFC Bournemouth";"AFC Bournemouth";England
52;"Manchester United FC";"Manchester United";England
53;"Liverpool FC";Liverpool;England
54;"Chelsea FC";Chelsea;England
55;"West Ham United FC";"West Ham United";England
56;"Newcastle United FC";"Newcastle United";England
57;"Aston Villa FC";"Aston Villa";England
58;"Fulham FC";Fulham;England
59;"Brighton & Hove Albion FC";"Brighton & Hove Albion";England
60;"Nottingham Forest FC";"Nottingham Forest";England
61;"Brentford FC";Brentford;England
62;"Wolverhampton Wanderers FC";"Wolverhampton Wanderers";England
63;"Sheffield United FC";"Sheffield United";England
64;"Luton Town FC";"Luton Town";England
65;"SSC Napoli";Napoli;Italy
66;"Juventus FC";Juventus;Italy
67;"AS Roma";Roma;Italy
68;"Cagliari Calcio";Cagliari;Italy
69;"Torino FC";Torino;Italy
70;"Empoli FC";Empoli;Italy
71;"Genoa CFC";Genoa;Italy
72;"AC Milan";"AC Milan";Italy
73;"SS Lazio";Lazio;Italy
74;"Atalanta Bergamasca Calcio";Atalanta;Italy
75;"Udinese Calcio";Udinese;Italy
76;"Bologna FC 1909";Bologna;Italy
77;"US Sassuolo Calcio";Sassuolo;Italy
78;"FC Internazionale Milano";"Inter Milan";Italy
79;"ACF Fiorentina";Fiorentina;Italy
80;"Hellas Verona FC";"Hellas Verona";Italy
81;"Frosinone Calcio";Frosinone;Italy
82;"US Salernitana 1919";Salernitana;Italy
83;"US Lecce";Lecce;Italy
84;"SS Monza 1912";Monza;Italy
85;"Villarreal CF";Villarreal;Spain
86;"FC Barcelona";"FC Barcelona";Spain
87;"Real Madrid CF";"Real Madrid";Spain
88;"Sevilla FC";"Sevilla FC";Spain
89;"Club Atletico de Madrid";"Atletico Madrid";Spain
90;"UD Las Palmas";"UD Las Palmas";Spain
91;"Deportivo Alaves";"Deportivo Alaves";Spain
92;"Real Club Celta de Vigo";"Celta de Vigo";Spain
93;"Granada CF";"Granada CF";Spain
94;"Real Betis Balompie";"Real Betis";Spain
95;"Athletic Club Bilbao";"Athletic Club Bilbao";Spain
96;"CA Osasuna";"CA Osasuna";Spain
97;"Valencia CF";"Valencia CF";Spain
98;"Real Sociedad de Futbol";"Real Sociedad";Spain
99;"Rayo Vallecano";"Rayo Vallecano";Spain
100;"Getafe Club de Futbol";"Getafe CF";Spain
101;"UD Almeri­a";Almeria;Spain
102;"Real Club Deportivo Mallorca";"RCD Mallorca";Spain
103;"Cadiz CF";Cadiz;Spain
104;"Girona FC";"Girona FC";Spain
